10	·ïÏè¸®	³É¶¼¸®	´óÀí¸®	ãê¾©¸®	ÏåÑô¸®	ÑïÖÝ¸®	ÁÙ°²¸®	½­½ò´å	ÁúÃÅÕò	°ÍÁêÏØ	ÄÏÔÀÕò	ÁúÈª´å	µ¾Ïã´å	ÓÀÀÖÕò	ÖìÏÉÕò	Ê¯¹ÄÕò
Ph­îng T­êng Phñ	-1	20	50	30	30	40	50	-1	20	-1	-1	-1	-1	10	-1	-1
BiÖn Kinh Phñ	30	30	50	-1	20	30	50	-1	-1	-1	-1	-1	-1	-1	10	-1
T­¬ng D­¬ng Phñ	30	30	40	20	-1	20	30	-1	-1	20	-1	-1	10	-1	-1	-1
D­¬ng Ch©u Phñ	40	40	50	30	20	-1	20	-1	-1	-1	-1	-1	10	-1	-1	-1
Ba L¨ng huyÖn	-1	-1	-1	-1	20	-1	-1	20	-1	-1	10	-1	-1	-1	-1	-1
Nam Nh¹c trÊn	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1
Long TuyÒn th«n	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1
§¹o H­¬ng th«n	-1	-1	-1	-1	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
VÜnh L¹c trÊn	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Chu Tiªn trÊn	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Th¹ch Cæ trÊn	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
