Ç°ºó×ºÃû³Æ	ÊÇ·ñÇ°×º	ÎåÐÐÊôÐÔÒªÇó	µÈ¼¶ÒªÇó	ÊôÐÔµ÷ÕûÀà±ð	²ÎÊý1×îÐ¡Öµ	²ÎÊý1×î´óÖµ	²ÎÊý2×îÐ¡Öµ	²ÎÊý2×î´óÖµ	²ÎÊý3×îÐ¡Öµ	²ÎÊý3×î´óÖµ	Ð§¹ûËµÃ÷	½ü³ÌÎäÆ÷	°µÆ÷	¿ø¼×	½äÖ¸	ÏîÁ´	Ñ¥×Ó	Ñü´ø	Í·¿ø	»¤Íó	Ñü×¹	Âí
S¸t th­¬ng vËt lý %	1		1	126	50	75	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		2	126	50	100	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		3	126	50	125	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		4	126	50	150	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		5	126	50	175	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		6	126	50	200	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		7	126	50	225	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		8	126	50	250	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		9	126	50	275	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
S¸t th­¬ng vËt lý %	1		10	126	50	300	-1	-1	6	6	T¨ng hiÖu qu¶ s¸t th­¬ng	100000	100000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		1	166	300	360	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		2	166	300	420	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		3	166	300	480	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		4	166	300	540	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		5	166	300	600	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		6	166	300	660	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		7	166	350	720	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
§é ChÝnh x¸c	1		8	166	400	780	-1	-1	0	0	T¨ng chÝnh x¸c	300000	300000	0	0	0	0	0	0	0	0	0
