map_ID	nPosX	nPosY
1009	1403	3160
1009	1403	3165
1009	1403	3175
1009	1403	3184
1009	1411	3183
1009	1411	3173
1009	1411	3163
1009	1410	3152
1009	1419	3148
1009	1421	3158
1009	1420	3167
1009	1420	3177
1009	1424	3186
1009	1432	3185
1009    1430    3185
1009    1430    3161
1009    1422    3146
1009    1407    3140
1009    1438    3156
1009    1439    3166
1009    1440    3174
1009    1440    3185
1009    1356    3162
1009    1356    3173
1009    1356    3181
1009    1356    3189
1009    1363    3164
1009    1363    3171
1009    1363    3181
1009    1363    3189
